,0
1666,11377
1667,11346
1668,11362
1669,11371
1670,11351
1671,11349
1672,11372
1673,11357
1674,11369
1675,11379
1676,11361
1677,11371
1678,11384
1679,11361
1680,11368
1681,11357
1682,11355
1683,11355
1684,11365
1685,11355
1686,11373
1687,11364
1688,11367
1689,11366
1690,11362
1691,11374
1692,11365
1693,11377
1694,11376
1695,11368
1696,11372
1697,11370
1698,11387
1699,11362
1700,11364
1701,11352
1702,11380
1703,11372
1704,11368
1705,11365
1706,11375
1707,11359
1708,11375
1709,11377
1710,11358
1711,11381
1712,11364
1713,11366
1714,11375
1715,11366
1716,11374
1717,11369
1718,11391
1719,11382
1720,11355
1721,11373
1722,11374
1723,11364
1724,11365
1725,11378
1726,11377
1727,11384
1728,11377
1729,11366
1730,11374
1731,11383
1732,11371
1733,11380
1734,11389
1735,11365
1736,11366
1737,11362
1738,11371
1739,11367
1740,11372
1741,11363
1742,11382
1743,11375
1744,11377
1745,11372
1746,11385
1747,11368
1748,11388
1749,11380
1750,11364
1751,11369
1752,11379
1753,11387
1754,11377
1755,11374
1756,11381
1757,11372
1758,11385
1759,11395
1760,11391
1761,11391
1762,11398
1763,11378
1764,11377
1765,11377
1766,11381
1767,11389
1768,11383
1769,11389
1770,11389
1771,11395
1772,11390
1773,11394
1774,11381
1775,11395
1776,11397
1777,11388
1778,11404
1779,11386
1780,11379
1781,11383
1782,11383
1783,11385
1784,11395
1785,11389
1786,11418
1787,11399
1788,11397
1789,11404
1790,11396
1791,11394
1792,11411
1793,11415
1794,11403
1795,11393
1796,11388
1797,11403
1798,11394
1799,11413
1800,11393
1801,11410
1802,11402
1803,11396
1804,11399
1805,11396
1806,11414
1807,11395
1808,11388
1809,11404
1810,11411
1811,11397
1812,11409
1813,11401
1814,11406
1815,11410
1816,11413
1817,11409
1818,11401
1819,11398
1820,11393
1821,11397
1822,11387
1823,11398
1824,11376
1825,11387
1826,11392
1827,11382
1828,11381
1829,11373
1830,11405
1831,11367
1832,11387
1833,11382
1834,11379
1835,11383
1836,11376
1837,11369
1838,11366
1839,11397
1840,11369
1841,11375
1842,11387
1843,11395
1844,11373
1845,11372
1846,11376
1847,11378
1848,11371
1849,11376
1850,11363
1851,11366
1852,11345
1853,11367
1854,11362
1855,11377
1856,11370
1857,11373
1858,11367
1859,11354
1860,11354
1861,11365
1862,11365
1863,11366
1864,11351
1865,11350
1866,11345
1867,11347
1868,11334
1869,11363
1870,11354
1871,11342
1872,11347
1873,11336
1874,11337
1875,11340
1876,11334
1877,11322
1878,11336
1879,11326
1880,11343
1881,11331
1882,11334
1883,11327
1884,11331
1885,11336
1886,11342
1887,11344
1888,11338
1889,11337
1890,11345
1891,11333
1892,11346
1893,11321
1894,11336
1895,11331
1896,11343
1897,11340
1898,11325
1899,11345
1900,11343
1901,11322
1902,11325
1903,11333
1904,11319
1905,11332
1906,11327
1907,11324
1908,11316
1909,11314
1910,11314
1911,11317
1912,11321
1913,11297
1914,11313
1915,11296
1916,11294
1917,11288
1918,11302
1919,11298
1920,11277
1921,11291
1922,11289
1923,11276
1924,11276
1925,11258
1926,11274
1927,11256
1928,11265
1929,11261
1930,11267
1931,11257
1932,11255
1933,11238
1934,11237
1935,11250
1936,11251
1937,11238
1938,11243
1939,11241
1940,11226
1941,11224
1942,11229
1943,11210
1944,11191
1945,11180
1946,11195
1947,11171
1948,11160
1949,11169
1950,11160
1951,11143
1952,11135
1953,11094
1954,11128
1955,11113
1956,11096
1957,11073
1958,11091
1959,11063
1960,11055
1961,11049
1962,11059
1963,11059
1964,11074
1965,11068
1966,11044
1967,11050
1968,11045
1969,11027
1970,11016
1971,10997
1972,10963
1973,10936
1974,10913
1975,10867
1976,10829
1977,10795
1978,10743
1979,10742
1980,10697
1981,10639
1982,10610
1983,10571
1984,10556
1985,10507
1986,10469
1987,10432
1988,10351
1989,10266
1990,10212
1991,10143
1992,10045
1993,9933
1994,9835
1995,9676
1996,9544
1997,9392
1998,9249
1999,9072
2000,8912
2001,8719
2002,8542
2003,8341
2004,8134
2005,7938
2006,7717
2007,7482
2008,7247
2009,6977
2010,6690
2011,6398
2012,6110
2013,5799
2014,5549
2015,5280
2016,5046
2017,4812
2018,4605
2019,4412
2020,4237
2021,4047
2022,3888
2023,3743
2024,3563
2025,3401
2026,3221
2027,3023
2028,2850
2029,2674
2030,2499
2031,2314
2032,2150
2033,1981
2034,1826
2035,1657
2036,1498
2037,1360
2038,1249
2039,1133
2040,1036
2041,957
2042,884
2043,810
2044,739
2045,674
2046,658
2047,606
2048,574
2049,548
2050,522
2051,473
2052,437
2053,407
2054,418
2055,409
2056,393
2057,388
2058,388
2059,391
2060,384
2061,392
2062,400
2063,404
2064,412
2065,418
2066,407
2067,422
2068,431
2069,436
2070,436
2071,440
2072,447
2073,429
2074,418
2075,408
2076,413
2077,423
2078,443
2079,436
2080,445
2081,445
2082,462
2083,457
2084,456
2085,444
2086,453
2087,454
2088,432
2089,427
2090,437
2091,412
2092,391
2093,386
2094,395
2095,394
2096,376
2097,377
2098,366
2099,348
2100,344
2101,342
2102,336
2103,323
2104,328
2105,326
2106,325
2107,332
2108,309
2109,306
2110,305
2111,304
2112,302
2113,282
2114,307
2115,282
2116,293
2117,276
2118,282
2119,290
2120,291
2121,270
2122,296
2123,274
2124,270
2125,273
2126,269
2127,278
2128,265
2129,263
2130,277
2131,279
2132,267
2133,253
2134,275
2135,265
2136,267
2137,245
2138,256
2139,241
2140,251
2141,241
2142,254
2143,243
2144,259
2145,224
2146,267
2147,239
2148,254
2149,244
2150,246
2151,244
2152,243
2153,252
2154,246
2155,251
2156,244
2157,246
2158,254
2159,245
2160,244
2161,260
2162,245
2163,247
2164,264
2165,249
2166,243
2167,256
2168,247
2169,241
2170,260
2171,246
2172,235
2173,261
2174,249
2175,238
2176,240
2177,248
2178,262
2179,243
2180,243
2181,244
2182,256
2183,243
2184,249
2185,261
2186,273
2187,256
2188,238
2189,234
2190,262
2191,248
2192,251
2193,241
2194,261
2195,237
2196,248
2197,238
2198,249
2199,242
2200,212
2201,236
2202,255
2203,233
2204,235
2205,261
2206,251
2207,246
2208,238
2209,250
2210,265
2211,239
2212,243
2213,245
2214,244
2215,238
2216,248
2217,250
2218,265
2219,240
2220,247
2221,242
2222,263
2223,250
2224,248
2225,229
2226,271
2227,251
2228,248
2229,250
2230,245
2231,253
2232,241
2233,241
2234,258
2235,254
2236,240
2237,231
2238,259
2239,253
2240,237
2241,248
2242,263
2243,246
2244,228
2245,250
2246,255
2247,235
2248,246
2249,248
2250,254
2251,240
2252,246
2253,250
2254,264
2255,245
2256,246
2257,234
2258,248
2259,248
2260,243
2261,246
2262,259
2263,241
2264,208
2265,248
2266,256
2267,251
2268,237
2269,253
2270,258
2271,244
2272,234
2273,243
2274,247
2275,251
2276,241
2277,238
2278,258
2279,237
2280,237
2281,240
2282,265
2283,239
2284,234
2285,242
2286,263
2287,248
2288,244
2289,226
2290,266
2291,241
2292,240
2293,253
2294,254
2295,228
2296,253
2297,241
2298,262
2299,241
2300,256
2301,239
2302,260
2303,261
2304,245
2305,251
2306,263
2307,246
2308,241
2309,228
2310,259
2311,240
2312,242
2313,242
2314,264
2315,241
2316,238
2317,247
2318,264
2319,243
2320,251
2321,240
2322,265
2323,243
2324,256
2325,238
2326,256
2327,237
2328,244
2329,235
2330,262
2331,230
2332,251
2333,251
2334,262
2335,250
2336,258
2337,238
2338,259
2339,258
2340,253
2341,240
2342,262
2343,258
2344,251
2345,233
2346,260
2347,241
2348,245
2349,237
2350,254
2351,249
2352,247
2353,247
2354,269
2355,248
2356,247
2357,224
2358,253
2359,249
2360,233
2361,236
2362,268
2363,240
2364,236
2365,234
2366,269
2367,252
2368,235
2369,236
2370,262
2371,232
2372,239
2373,240
2374,253
2375,245
2376,240
2377,239
2378,256
2379,231
2380,237
2381,246
2382,251
2383,243
2384,253
2385,263
2386,280
2387,297
2388,314
2389,341
2390,415
2391,464
2392,491
2393,551
2394,618
2395,658
2396,688
2397,730
2398,769
2399,791
2400,832
2401,871
2402,933
2403,988
2404,1073
2405,1159
2406,1306
2407,1453
2408,1635
2409,1839
2410,2147
2411,2488
2412,2926
2413,3503
2414,4225
2415,5149
2416,6134
2417,7074
2418,7723
2419,8136
2420,8358
2421,8672
2422,9039
2423,9500
2424,9879
2425,10177
2426,10455
2427,10746
2428,11051
2429,11343
2430,11624
2431,11864
2432,12038
2433,12179
2434,12298
2435,12377
2436,12387
2437,12364
2438,12359
2439,12342
2440,12320
2441,12310
2442,12300
2443,12297
2444,12280
2445,12253
2446,12248
2447,12232
2448,12225
2449,12237
2450,12224
2451,12223
2452,12221
2453,12233
2454,12244
2455,12265
2456,12256
2457,12278
2458,12269
2459,12288
2460,12285
2461,12322
2462,12334
2463,12365
2464,12395
2465,12397
2466,12371
2467,12333
2468,12317
2469,12293
2470,12282
2471,12299
2472,12292
2473,12291
2474,12272
2475,12285
2476,12282
2477,12270
2478,12272
2479,12268
2480,12262
2481,12264
2482,12258
2483,12250
2484,12263
2485,12243
2486,12246
2487,12253
2488,12243
2489,12225
2490,12223
2491,12219
2492,12222
2493,12219
2494,12221
2495,12224
2496,12201
2497,12215
2498,12212
2499,12229
2500,12193
2501,12220
2502,12232
2503,12227
2504,12228
2505,12244
2506,12237
2507,12258
2508,12245
2509,12269
2510,12258
2511,12275
2512,12271
2513,12278
2514,12278
2515,12283
2516,12287
2517,12277
2518,12282
2519,12310
2520,12296
2521,12299
2522,12297
2523,12308
2524,12297
2525,12316
2526,12296
2527,12305
2528,12317
2529,12296
2530,12311
2531,12312
2532,12323
2533,12308
2534,12309
2535,12322
2536,12336
2537,12330
2538,12352
2539,12336
2540,12347
2541,12333
2542,12347
2543,12352
2544,12338
2545,12369
2546,12363
2547,12354
2548,12355
2549,12369
2550,12368
2551,12368
2552,12364
2553,12367
2554,12359
2555,12365
2556,12370
